date,Temp,ws,SolarRad,Rainfall,Humidity,PM10,PM2.5,wd
01-01-13,17,0,89.24,0,69,353.92,239.56,CLM
01-02-13,18.4,2,107.57,0,68,377.76,255.73,E  
01-03-13,18.9,0,79.21,0,74,358.93,246.32,CLM
01-04-13,19.9,2,72.29,0,70,363.61,254.28,WNW
01-05-13,18.7,2,102.34,0,60,260.23,182.96,N  
01-06-13,18.2,2,107.14,0,53,302.63,213.63,W  
01-07-13,17.1,2,62.77,0,59,318.23,234.27,NW 
01-08-13,12.5,2.3,139.88,0,71,313.89,255.15,NW 
01-09-13,10.4,2,95.55,0,81,320.12,253.82,NW 
01-10-13,12.3,2,40.95,0,80,417.83,315.62,NW 
01-11-13,12.5,0,94.64,0,79,345.6,263.22,CLM
01-12-13,15.8,2,106.23,0,66,289.25,214.06,NW 
01-13-13,16.8,2,107.82,0,73,365.09,264.36,NNW
01-14-13,17.7,0,108.85,0,68,339,234.98,CLM
01-15-13,18.5,2,99.62,0,63,347.8,226.9,W  
01-16-13,18.6,0,96.12,0,68,395.49,261.86,CLM
01-17-13,19.4,0,91.06,0,67,428.73,274.27,CLM
01-18-13,20,2,116.66,0,67,290.14,223.7,N  
01-19-13,21.6,0,109.09,0,62,320.6,213.69,CLM
01-20-13,21.5,2,100.16,0,64,241.47,167.51,NW 
01-21-13,19.6,2,137.94,0,58,215.36,137.79,NW 
01-22-13,19.4,2,82,0,58,201.67,137.51,WNW
01-23-13,19,2.3,93.59,0,59,202.14,141,NW 
01-24-13,18.5,2.7,87.77,0,60,191.06,136.87,W  
01-25-13,15.7,2.6,95.82,0,66,226.51,168.43,W  
01-26-13,16.1,2.4,78.43,0,59,209.62,158.67,W  
01-27-13,17,2,115.56,0,66,258.21,197.06,W  
01-28-13,18.2,2,84.33,0,64,261.95,196.13,WNW
01-29-13,17.9,2,117.63,0,65,261.46,187.65,W  
01-30-13,19.6,2,115.71,0,51,300.33,215.38,NW 
01-31-13,20,0,89.72,0,60,287.98,200.93,CLM
02-01-13,19.6,0,53.2,0,69,380.15,262.2,CLM
02-02-13,21.4,2,95.93,0,59,313.24,211.89,WNW
02-03-13,22.3,2,125.15,0,49,243.83,156.7,W  
02-04-13,22.3,2,114.32,0,55,249.45,149.17,W  
02-05-13,23.2,2,118.82,0,58,263.57,159.96,NW 
02-06-13,23.8,3,138.5,0,53,177.74,108.17,NW 
02-07-13,24.2,2,109.86,0,55,202.87,115.05,NW 
02-08-13,22,2.4,114.52,0,62,138.21,79.51,W  
02-09-13,20.7,2,155.06,0,54,157.4,93.52,W  
02-10-13,21.5,3,154.91,0,49,176.12,106.63,NW 
02-11-13,22.5,2,139.19,0,51,196.12,122.49,NW 
02-12-13,23.3,2,124.33,0,52,193.23,118.81,NW 
02-13-13,23.4,2,117.71,0,51,205.8,124.76,W  
02-14-13,22.4,3,138.39,0,54,259.97,157.61,NW 
02-15-13,23.8,2,144.24,0,43,327.01,200.71,W  
02-16-13,23.5,2,86.81,0,56,249.79,138.73,N  
02-17-13,19.1,3,58.98,0,82,179.65,101.11,NW 
02-18-13,17.9,2,,8,83,,,W  
02-19-13,20.4,2.5,,0,63,,,N  
02-20-13,22.3,2,,0,55,,,W  
02-21-13,23.1,2.8,,0,55,,,WNW
02-22-13,24.5,2.5,,0,51,,,W  
02-23-13,24.8,2,,0,56,,,W  
02-24-13,25.9,2,155.76,0,51,124.47,67.26,NW 
02-25-13,25.8,2,164.28,0,49,148.05,77.16,W  
02-26-13,25.5,2.3,172.11,0,46,122.66,63.33,NW 
02-27-13,25.6,3,169.02,0,52,151.95,86.56,NW 
02-28-13,25.2,2,170.19,0,52,185.44,108.05,NW 
